trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-83.04819703651424,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-218.71690569647993,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-47.35870979146551,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-216.3039184731413,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-133.6775239537294,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-215.7286803506115,"{0: 22, 1: 3, 2: 4, 3: 3, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-148.49937775441293,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-127.86161298136268,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-200.2061042181035,"{0: 13, 1: 1, 2: 5, 3: 4, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-109.70413354154154,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-22.633239883605448,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-72.34134583587246,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-30.785294323721224,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-64.17958530791421,"{0: 20, 1: 0, 2: 2, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,27.24757933368178,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-23.185194402453607,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-48.32297835145411,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-53.511246790796235,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-42.26362120035977,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-0.4200314564821761,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-4.1305705919999145,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-0.8478600686675474,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-42.47096405279598,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-15.011190370369569,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-23.403469646011,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,3.24069152398681,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-0.4724988227958907,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-32.1418601662767,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-45.69608036851081,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,24.596239534065088,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
