trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9886822420989076}",25,2,-134.5368495402461,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.988341583445167}",20,0,-122.39574816506311,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9879907956900725}",20,0,-37.82417812967624,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9876295852598377}",20,0,-205.95793267470924,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9872576505358884}",25,0,-160.7035949275805,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9868746816628972}",25,0,-114.70060821076704,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9864803603540304}",30,0,-165.32871908583857,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9860743596934995}",35,0,-296.7943347443125,"{0: 17, 1: 3, 2: 8, 3: 3, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9856563439365119}",30,0,-92.48731002755687,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9852259683067269}",25,0,-37.81775889838785,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9847828787913436}",20,0,-117.01616525258682,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9843267119339514}",25,0,-133.37740547719233,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9838570946252947}",20,0,-131.80607496897414,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9833736438921183}",25,0,-111.87883691123798,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9828759666842724}",35,9,-143.84473319103844,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.9823636596602773}",20,0,-107.10322330985012,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9818363089715674}",20,0,-72.33209657957238,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9812934900456455}",25,0,-65.75130348365676,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9807347673684083}",25,0,-230.68080477914035,"{0: 11, 1: 0, 2: 10, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9801596942659225}",30,0,-245.31167005684193,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.9795678126859471}",20,0,-83.90030193593833,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9789586529795317}",25,0,-87.48250791378064,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9783317336830395}",25,10,-78.01556794758694,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.9776865613009676}",30,0,-92.61361061065286,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9770226300899744}",20,0,-215.14368303322735,"{0: 8, 1: 2, 2: 4, 3: 3, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9763394218445388}",25,0,-104.1180309931581,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9756364056847222}",25,0,-150.64943779821735,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9749130378465203}",25,9,4.12635741868654,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.9741687614753359}",30,22,2.9873874651361523,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.973403006423134}",20,0,-92.66159998211796,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9726151890498743}",25,0,-110.94563950944368,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9718047120298574}",25,0,-115.07733004757321,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9709709641636592}",25,0,-155.6036544381579,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9701133201963639}",25,0,-71.62334330205371,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.969231140642852}",25,0,-118.86004654965846,"{0: 14, 1: 0, 2: 8, 3: 3, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9683237716209436}",20,0,-162.65472465960917,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9673905446932344}",20,0,-99.9710909600752,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9664307767185175}",20,0,-200.02740061738461,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
39,False,"{'a': 0.5, 'e': 0.9654437697137236}",20,0,-27.922067929057985,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.9644288107273639}",25,0,-168.43761398564448,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.9633851717255101}",20,0,-164.112951208322,"{0: 9, 1: 1, 2: 5, 3: 4, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9623121094913941}",35,0,-78.8227968063715,"{0: 24, 1: 1, 2: 10, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9612088655397639}",20,0,-132.9938867329671,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.960074666047186}",20,0,-93.21359264759616,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.958908721799535}",25,0,-168.37132430954313,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9577102281579662}",30,0,-106.17285821836084,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9564783650447278}",20,0,-109.99259508909954,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9552122969502131}",25,0,-22.18952091592333,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9539111729627203}",25,0,-70.71602549781475,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9525741268224334}",20,0,-84.9835470480167,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9512002770012}",25,8,-100.93769005704982,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.9497887268097336}",25,0,-178.3191500336747,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.9483385645339152}",25,4,-113.40838570276696,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.9468488636019362}",20,0,-27.23903124786506,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9453186827840592}",25,0,-119.65369711799067,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9437470664268327}",20,0,-147.12603918379511,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.942133044723639}",20,0,-80.06074120022515,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9404756340234984}",30,0,-118.81930094158123,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9387738371800919}",20,0,-109.28774410551233,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9370266439430035}",20,0,-49.04698426042606,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.9352330313932145}",25,0,-36.43782025278275,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9333919644249093}",25,0,-111.25968483404492,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.931502396275674}",25,0,-104.9346446970067,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.929563269107183}",20,0,-111.42342712779782,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.9275735146384823}",25,0,-51.04188023581452,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
