trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-93.19959942222258,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-179.67832778905301,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-143.1441787305547,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-83.92957620492376,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-157.9686488491112,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-93.44090343859858,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-74.25814630849655,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-129.54260818590726,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-128.58784442111508,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-117.31730049594181,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-153.5659993811779,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-56.88248170463899,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-144.20369254926635,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-87.85906056541435,"{0: 25, 1: 2, 2: 5, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-203.70661287996813,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-121.59318814816838,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,9,-16.078137158797652,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-91.83444640489262,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-97.73816856118542,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-143.90910741528606,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-28.235551641294805,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,-143.94101765356368,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,5,-73.82953457903601,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,-146.76197297776196,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-121.685493801751,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-57.41279577386006,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-97.81836694940866,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",30,0,-150.82440089388126,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",30,0,-314.40239673499383,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 5}",0
10,True,"{'a': 0, 'e': 0}",25,0,-221.46548803905063,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 5}",0
